,title,ROI,profit,prod_budget,dom_gross,world_gross,genres,director,writer,runtime_min,release_date
2319,just go with it,168.71869125,134974953,80000000,103028109,214974953,"['Comedy', 'Romance']",['Dennis Dugan'],"['Allan Loeb', 'Pierre Barillet', 'Jean-Pierre Grédy', 'Abe Burrows', 'I.A.L. Diamond', 'Timothy Dowling']",117.0,2011-02-11
2320,just like heaven,73.59841896551724,42687083,58000000,48318130,100687083,['None'],[nan],[nan],,2005-09-16
2321,just looking,-98.6716,-2960148,3000000,39852,39852,['None'],[nan],[nan],,2000-10-13
2322,just married,434.5522894736842,82564935,19000000,56127162,101564935,['None'],[nan],[nan],,2003-01-10
2323,just my luck,36.285374999999995,10159905,28000000,17326650,38159905,['None'],[nan],[nan],,2006-05-12
2324,just visiting,-59.5695,-23827800,40000000,4777007,16172200,['None'],[nan],[nan],,2001-04-06
2325,just wright,82.23054166666667,9867665,12000000,21540363,21867665,"['Comedy', 'Sport', 'Drama', 'Romance']",['Sanaa Hamri'],['Michael Elliot'],100.0,2010-05-14
2326,justice league,118.64840299999999,355945209,300000000,229024295,655945209,"['Action', 'Adventure', 'Science Fiction', 'Fantasy']",['Zack Snyder'],"['Joss Whedon', 'William Moulton Marston', 'Jack Kirby', 'Zack Snyder', 'Joe Shuster', 'Bill Finger', 'Chris Terrio', 'Jerry Siegel', 'Bob Kane', 'Gardner Fox']",120.0,2017-11-17
2327,justin bieber never say never,661.8009615384615,86034125,13000000,73013910,99034125,"['Music', 'Family', 'Documentary']",['Jon M. Chu'],[None],105.0,2011-02-11
2328,juwanna mann,-11.719121794871795,-1828183,15600000,13571817,13771817,['None'],[nan],[nan],,2002-06-21
2329,jã san nin no shikaku,212.12399999999997,12727440,6000000,802778,18727440,['None'],[nan],[nan],,2011-04-29
2330,jã yã dã shä,119.442655,23888531,20000000,587470,43888531,['None'],[nan],[nan],,2017-04-28
2331,k 19 the widowmaker,-26.98208222222222,-24283874,90000000,35168966,65716126,['None'],[nan],[nan],,2002-07-19
2332,k pax,4.8232083333333335,2315140,48000000,50315140,50315140,['None'],[nan],[nan],,2001-08-13
2333,kabhi alvida naa kehna,203.02737674418606,21825443,10750000,3275443,32575443,['None'],[nan],[nan],,2006-08-11
2334,kama sutra,36.969833333333334,1109095,3000000,4109095,4109095,['None'],[nan],[nan],,1997-02-28
2335,kangaroo jack,51.20536,30723216,60000000,66723216,90723216,['None'],[nan],[nan],,2003-01-17
2336,kansas city,-92.87461052631579,-17646176,19000000,1353824,1353824,['None'],[nan],[nan],,1996-08-16
2337,karachi se lahore,-98.2279,-982279,1000000,0,17721,"['None', 'Adventure', 'Family', 'Comedy']",['Wajahat Rauf'],"['Wajahat Rauf', 'Yasir Hussain']",143.0,2015-12-31
2338,karakter,-84.14637777777779,-3786587,4500000,713413,713413,['None'],[nan],[nan],,1998-03-27
2339,kari gurashi no arietti,558.6786826086956,128496097,23000000,19192510,151496097,['None'],[nan],[nan],,2012-02-17
2340,kate and leopold,47.787037500000004,22937778,48000000,47095453,70937778,['None'],[nan],[nan],,2001-12-25
2341,katy perry part of me,172.50365833333333,20700439,12000000,25326071,32700439,"['Music', 'Documentary']","['Jane Lipsitz', 'Dan Cutforth']",[None],93.0,2012-07-05
2342,keanu,37.920939999999995,5688141,15000000,20591853,20688141,"['Comedy', 'Action', 'Crime']",['Peter Atencio'],"['Alex Rubens', 'Jordan Peele']",100.0,2016-04-29
2343,keeping it real the adventures of greg walloch,-98.642,-98642,100000,1358,1358,['None'],[nan],[nan],,2001-11-09
2344,keeping the faith,56.332427586206904,16336404,29000000,37036404,45336404,['None'],[nan],[nan],,2000-04-14
2345,keeping up with the steins,-11.70494,-585247,5000000,4339241,4414753,['None'],[nan],[nan],,2006-05-12
2346,kevin hart laugh at my pain,928.3248000000001,6962436,750000,7706436,7712436,"['Comedy', 'Documentary']","['Leslie Small', 'Tim Story']","[""Na'im Lynn"", 'Joey Wells', 'Kevin Hart']",89.0,2011-09-09
2347,kevin hart let me explain,1193.0901999999999,29827255,2500000,32244051,32327255,"['Comedy', 'Documentary']","['Leslie Small', 'Tim Story']",['Kevin Hart'],75.0,2013-07-03
2348,kevin hart what now,135.91043,13591043,10000000,23591043,23591043,"['Comedy', 'Documentary']","['Leslie Small', 'Tim Story']","['Harry Ratchford', 'Brian Buccellato', 'Joey Wells', 'Kevin Hart']",96.0,2016-10-14
2349,khiladi 786,162.21005357142857,9083763,5600000,385422,14683763,"['Comedy', 'Action']",['Ashish R. Mohan'],"['Bunty Rathore', 'Kushal Ved Bakshi', 'Himesh Reshammiya']",141.0,2012-12-07
2350,khumba,39.32147333333334,5898221,15000000,0,20898221,"['None', 'Animation', 'Adventure', 'Family']",['Anthony Silverston'],"['Mike de Seve', 'Camilla Bubna-Kasteliz', 'Dave Bejoya', 'Jonathan Roberts', 'Raffaella Delle Donne', 'Anthony Silverston', 'Joe Vitale']",85.0,2013-12-06
2351,kick ass,248.32547857142856,69531134,28000000,48071303,97531134,"['Comedy', 'Action', 'Crime']",['Matthew Vaughn'],"['Matthew Vaughn', 'Mark Millar', 'John Romita Jr.', 'Jane Goldman']",117.0,2010-04-16
2352,kick ass 2,125.46396071428572,35129909,28000000,28795985,63129909,"['Comedy', 'Action', 'Adventure', 'Crime']",['Jeff Wadlow'],"['Mark Millar', 'John Romita Jr.', 'Jeff Wadlow']",103.0,2013-08-16
2353,kickboxer,868.9120666666665,13033681,1500000,14533681,14533681,['None'],[nan],[nan],,1989-09-08
2354,kicking and screaming,24.094942222222222,10842724,45000000,52842724,55842724,['None'],[nan],[nan],,2005-05-13
2355,kicks,-98.49809,-9849809,10000000,150191,150191,"['Drama', 'Adventure']",['Justin Tipping'],"['Justin Tipping', 'Joshua Beirne-Golden']",80.0,2016-09-09
2356,kidnap,65.88609523809524,13836080,21000000,30718107,34836080,"['Drama', 'Crime', 'Thriller']",['Luis Prieto'],['Knate Lee'],95.0,2017-08-04
2357,kids,1260.8144,18912216,1500000,7412216,20412216,['None'],[nan],[nan],,1995-07-21
2358,kill bill volume 1,220.85350545454548,121469428,55000000,70098138,176469428,['None'],[nan],[nan],,2003-10-10
2359,kill bill volume 2,179.1563309090909,98535982,55000000,66207920,153535982,['None'],[nan],[nan],,2004-04-16
2360,kill list,-42.224250000000005,-337794,800000,29063,462206,['None'],[nan],[nan],,2012-02-03
2361,kill the irishman,-90.09838333333333,-10811806,12000000,1188194,1188194,"['Action', 'Thriller', 'Crime', 'Biography', 'Drama']",['Jonathan Hensleigh'],"['Jeremy Walters', 'Rick Porrello', 'Jonathan Hensleigh']",106.0,2011-03-11
2362,kill the messenger,33.1341,1656705,5000000,2450846,6656705,"['Thriller', 'Crime', 'Biography', 'Mystery', 'Drama']",['Michael Cuesta'],"['Peter Landesman', 'Gary Webb', 'Nick Schou']",112.0,2014-10-10
2363,killer elite,-6.558505714285714,-4590954,70000000,25124986,65409046,"['Action', 'Adventure', 'Thriller', 'Crime']",['Gary McKendry'],"['Ranulph Fiennes', 'Matt Sherring']",116.0,2011-09-23
2364,killer joe,-53.4089,-5340890,10000000,1291645,4659110,"['Drama', 'Crime', 'None', 'Thriller']",[nan],[nan],,2012-07-27
2365,killers,27.430332,20572749,75000000,47059963,95572749,"['Comedy', 'Action', 'Thriller', 'Romance']",['Robert Luketic'],"['Bob DeRosa', 'Ted Griffin']",100.0,2010-06-04
2366,killing them softly,161.58962,24238443,15000000,14945541,39238443,"['Crime', 'Thriller']",['Andrew Dominik'],"['George V. Higgins', 'Andrew Dominik']",97.0,2012-11-30
2367,killing zoe,-72.0698,-1081047,1500000,418953,418953,['None'],[nan],[nan],,1994-08-31
2368,kin,-66.34393,-19903179,30000000,5718096,10096821,"['Drama', 'Science Fiction', 'Sci-Fi', 'Action']","['Jonathan Baker', 'Josh Baker']","['Jonathan Baker', 'Josh Baker', 'Daniel Casey']",102.0,2018-08-31
2369,kindergarten cop,676.9230769230769,176000000,26000000,91457688,202000000,['None'],[nan],[nan],,1990-12-21
2370,king arthur,126.53106999999999,113877963,90000000,51877963,203877963,['None'],[nan],[nan],,2004-07-07
2371,king arthur legend of the sword,-20.21123657142857,-35369664,175000000,39175066,139630336,"['Drama', 'Action', 'Adventure', 'Fantasy']",['Guy Ritchie'],"['Lionel Wigram', 'Joby Harold', 'David Dobkin', 'Guy Ritchie']",126.0,2017-05-12
2372,king kong,165.95041400966184,343517357,207000000,218080025,550517357,['None'],[nan],[nan],,2005-12-14
2373,king of california,-88.34898,-8834898,10000000,268461,1165102,['None'],[nan],[nan],,2007-09-14
2374,king s ransom,-83.801892,-20950473,25000000,4008527,4049527,['None'],[nan],[nan],,2005-04-22
2375,kingdom come,234.19912857142856,16393939,7000000,23247539,23393939,['None'],[nan],[nan],,2001-04-11
2376,kingdom of heaven,98.95759363636364,108853353,110000000,47398413,218853353,['None'],[nan],[nan],,2005-05-06
2377,kingdom of the spiders,3300.0,16500000,500000,17000000,17000000,['None'],[nan],[nan],,1977-01-01
2378,kingpin,28.893696000000002,7223424,25000000,25023424,32223424,['None'],[nan],[nan],,1996-07-26
2379,kingsman the golden circle,293.0804769230769,304803696,104000000,100234838,408803696,"['Comedy', 'Action', 'Adventure']",['Matthew Vaughn'],"['Matthew Vaughn', 'Mark Millar', 'Dave Gibbons', 'Jane Goldman']",141.0,2017-09-22
2380,kingsman the secret service,330.38481276595746,310561724,94000000,128261724,404561724,"['Comedy', 'None', 'Action', 'Adventure', 'Crime']",[nan],[nan],,2015-02-13
2381,kinsey,58.57753636363636,6443529,11000000,10214647,17443529,['None'],[nan],[nan],,2004-11-12
2382,kiss kiss bang bang,12.196426666666667,1829464,15000000,4235837,16829464,['None'],[nan],[nan],,2005-10-21
2383,kiss of death,-62.643945,-25057578,40000000,14942422,14942422,['None'],[nan],[nan],,1995-04-21
2384,kiss of the dragon,47.333892,11833473,25000000,36833473,36833473,['None'],[nan],[nan],,2001-07-06
2385,kiss the bride,-93.5934,-467967,500000,32033,32033,['None'],[nan],[nan],,2008-04-18
2386,kiss the girls,124.1773074074074,33527873,27000000,60527873,60527873,['None'],[nan],[nan],,1997-10-03
2387,kissing jessica stein,523.0040666666666,7845061,1500000,7025722,9345061,['None'],[nan],[nan],,2002-03-13
2388,kit kittredge an american girl,76.57973,7657973,10000000,17657973,17657973,['None'],[nan],[nan],,2008-06-20
2389,kites,86.46948913043478,7955193,9200000,1685269,17155193,"['Drama', 'Action', 'Romance']","['Anurag Basu', 'Sunil Subramani']","['Anurag Basu', 'Akarsh Khurana', 'Rakesh Roshan', 'Sanjeev Dutta', 'Robin Bhatt']",123.0,2010-05-21
2390,knight and day,121.1550170940171,141751370,117000000,76423035,258751370,"['Comedy', 'Action', 'Adventure']",['James Mangold'],"[""Patrick O'Neill""]",109.0,2010-06-23
2391,knock knock,216.42579999999998,4328516,2000000,36336,6328516,"['Drama', 'Thriller']",['Eli Roth'],"['Michael Ronald Ross', 'Guillermo Amoedo', 'Eli Roth', 'Anthony Overman', 'Nicolás López']",99.0,2015-10-09
2392,knock off,-70.51452857142857,-24680085,35000000,10319915,10319915,['None'],[nan],[nan],,1998-09-04
2393,knockaround guys,-17.202,-2580300,15000000,11660180,12419700,['None'],[nan],[nan],,2002-10-11
2394,knocked up,697.3307345454546,191765952,27500000,148761765,219265952,['None'],[nan],[nan],,2007-06-01
