,title,ROI,profit,prod_budget,dom_gross,world_gross,genres,director,writer,runtime_min,release_date
264,alleluia the devil s carnival,-100.0,-500000,500000,0,0,['None'],[nan],[nan],,2015-08-11
265,allied,12.515717924528303,13266661,106000000,40098064,119266661,"['Action', 'War', 'Thriller', 'Romance', 'Drama']",['Robert Zemeckis'],['Steven Knight'],124.0,2016-11-23
266,almost christmas,149.96179999999998,25493506,17000000,42065185,42493506,"['Comedy', 'Drama']",['David E. Talbert'],['David E. Talbert'],111.0,2016-11-11
267,almost famous,-21.048015,-12628809,60000000,32522352,47371191,"['Drama', 'Music', 'None']",[nan],[nan],,2000-09-15
268,aloft,-97.0289,-7762312,8000000,53086,237688,"['Drama', 'None']",[nan],[nan],,2015-05-22
269,aloha,-31.386240540540538,-11612909,37000000,21052030,25387091,"['Drama', 'Comedy', 'Romance']",['Cameron Crowe'],['Cameron Crowe'],105.0,2015-05-29
270,alone in the dark,-47.059605,-9411921,20000000,5178569,10588079,['None'],[nan],[nan],,2005-01-28
271,alone with her,-15.5623,-155623,1000000,10787,844377,['None'],[nan],[nan],,2007-01-17
272,along came a spider,275.5681607142857,77159085,28000000,74058698,105159085,['None'],[nan],[nan],,2001-04-06
273,along came polly,312.01050000000004,131044410,42000000,88073507,173044410,['None'],[nan],[nan],,2004-01-16
274,along the roadside,-98.7064,-246766,250000,0,3234,['None'],[nan],[nan],,2015-03-24
275,alpha,95.34288823529413,48624873,51000000,35851379,99624873,"['Drama', 'Adventure', 'Family']",['Albert Hughes'],"['Albert Hughes', 'Daniele Sebastian Wiedenhaupt']",96.0,2018-08-17
276,alpha and omega 3d,144.791765,28958353,20000000,25107267,48958353,['None'],[nan],[nan],,2010-09-17
277,alpha omega the legend of the saw tooth cave,-100.0,-7000000,7000000,0,0,['None'],[nan],[nan],,2015-09-01
278,alvin and the chipmunks,559.2818781818182,307605033,55000000,217326974,362605033,['None'],[nan],[nan],,2007-12-14
279,alvin and the chipmunks chipwrecked,336.36065375,269088523,80000000,133107389,349088523,"['Comedy', 'Family', 'Music', 'Adventure', 'Animation', 'Fantasy']",['Mike Mitchell'],"['Glenn Berger', 'Janice Karman', 'Jonathan Aibel', 'Ross Bagdasarian']",87.0,2011-12-16
280,alvin and the chipmunks the road chip,177.24217333333334,159517956,90000000,85886987,249517956,"['Comedy', 'Animation', 'Adventure', 'Family']",['Walt Becker'],"['Janice Karman', 'Randi Mayem Singer', 'Adam Sztykiel', 'Ross Bagdasarian']",92.0,2015-12-18
281,alvin and the chipmunks the squeakquel,533.5474471428571,373483213,70000000,219614612,443483213,['None'],[nan],[nan],,2009-12-23
282,always woodstock,-100.0,-2400000,2400000,0,0,"['None', 'Music', 'Romance', 'Comedy']",['Rita Merson'],['Rita Merson'],97.0,2014-11-14
283,amadeus,188.73905,33973029,18000000,51973029,51973029,['None'],[nan],[nan],,1984-09-19
284,amelia,-50.6098075,-20243923,40000000,14279575,19756077,['None'],[nan],[nan],,2009-10-23
285,amen,-98.04072142857143,-13725701,14000000,274299,274299,['None'],[nan],[nan],,2003-01-24
286,america is still the place,-100.0,-500000,500000,0,0,['None'],[nan],[nan],,2014-12-31
287,america s sweethearts,249.2358543478261,114648493,46000000,93607673,160648493,['None'],[nan],[nan],,2001-07-20
288,american anthem,-48.9768,-3428376,7000000,3571624,3571624,['None'],[nan],[nan],,1986-06-27
289,american assassin,8.42879365079365,5310140,63000000,36249674,68310140,"['Action', 'Thriller']",['Michael Cuesta'],"['Edward Zwick', 'Vince Flynn', 'Michael Finch', 'Stephen Schiff', 'Marshall Herskovitz']",112.0,2017-09-15
290,american beauty,2275.0536466666667,341258047,15000000,130058047,356258047,['None'],[nan],[nan],,1999-09-15
291,american desi,446.494,1116235,250000,902835,1366235,['None'],[nan],[nan],,2001-03-16
292,american dreamz,-2.876641176470588,-489029,17000000,7314027,16510971,['None'],[nan],[nan],,2006-04-21
293,american gangster,167.985456,167985456,100000000,130164645,267985456,['None'],[nan],[nan],,2007-11-02
294,american graffiti,17918.018018018018,139223000,777000,115000000,140000000,['None'],[nan],[nan],,1973-08-11
295,american heist,-76.58782,-7658782,10000000,0,2341218,['None'],[nan],[nan],,2015-07-21
296,american hero,-99.9974,-999974,1000000,0,26,"['Comedy', 'Action', 'Science Fiction', 'Drama']",['Nick Love'],['Nick Love'],86.0,2015-12-11
297,american history x,-32.80136,-3280136,10000000,6719864,6719864,['None'],[nan],[nan],,1998-10-30
298,american honey,-25.378571428571426,-888250,3500000,663247,2611750,"['Drama', 'Adventure', 'Romance']",['Andrea Arnold'],['Andrea Arnold'],163.0,2016-09-30
299,american hustle,544.695735,217878294,40000000,150117807,257878294,"['None', 'Crime', 'Drama']",['David O. Russell'],"['Eric Warren Singer', 'David O. Russell']",138.0,2013-12-13
300,american made,171.138424,85569212,50000000,51342000,135569212,"['Comedy', 'Action', 'Biography', 'Crime']",['Doug Liman'],['Gary Spinelli'],115.0,2017-09-29
301,american ninja 2 the confrontation,1042.857142857143,3650000,350000,4000000,4000000,['None'],[nan],[nan],,1987-01-01
302,american outlaws,-61.13968857142857,-21398891,35000000,13264986,13601109,['None'],[nan],[nan],,2001-08-17
303,american pie,1856.0262333333335,222723148,12000000,101800948,234723148,"['Comedy', 'None', 'Romance']",[nan],[nan],,1999-07-09
304,american pie 2,855.0000000000001,256500000,30000000,145096820,286500000,['None'],[nan],[nan],,2001-08-10
305,american psycho,328.37856250000004,26270285,8000000,15070285,34270285,['None'],[nan],[nan],,2000-04-14
306,american reunion,373.598422,186799211,50000000,56758835,236799211,['Comedy'],"['Jon Hurwitz', 'Hayden Schlossberg']","['Jon Hurwitz', 'Adam Herz', 'Hayden Schlossberg']",113.0,2012-04-06
307,american sniper,843.6661586206898,489326372,58000000,350126372,547326372,"['Drama', 'Action', 'War', 'Biography']",['Clint Eastwood'],"['Jason Hall', 'Scott McEwen', 'Chris Kyle', 'Jim DeFelice']",133.0,2014-12-25
308,american splendor,334.2816,6685632,2000000,6003587,8685632,['None'],[nan],[nan],,2003-08-15
309,american teen,-80.21361999999999,-4010681,5000000,942441,989319,['None'],[nan],[nan],,2008-07-25
310,american ultra,8.196528571428571,2295028,28000000,14439985,30295028,"['Comedy', 'Action', 'Sci-Fi']",['Nima Nourizadeh'],['Max Landis'],96.0,2015-08-21
311,american wedding,129.86384545454547,71425115,55000000,104354205,126425115,['None'],[nan],[nan],,2003-08-01
312,amidst the devil s wings,-100.0,-300000,300000,0,0,['None'],[nan],[nan],,2015-12-08
313,amigo,-87.68633333333334,-1315295,1500000,184705,184705,"['Drama', 'War', 'History', 'None']",[nan],[nan],,2011-08-19
314,amistad,45.6253775,18250151,40000000,44212592,58250151,['None'],[nan],[nan],,1997-12-12
315,amnesiac,-100.0,-3000000,3000000,0,0,"['None', 'Thriller', 'Horror', 'Mystery', 'Drama']",[nan],[nan],,2015-08-14
316,among giants,-98.391025,-3935641,4000000,64359,64359,['None'],[nan],[nan],,1999-03-26
317,amores perros,944.1917,18883834,2000000,5383834,20883834,['None'],[nan],[nan],,2001-03-30
318,amour,279.24787628865977,27087044,9700000,6738954,36787044,"['Drama', 'Romance']",['Michael Haneke'],['Michael Haneke'],127.0,2012-12-19
319,an alan smithee film burn hollywood burn,-99.54221,-9954221,10000000,45779,45779,['None'],[nan],[nan],,1998-02-27
320,an american carol,-64.88908500000001,-12977817,20000000,7013191,7022183,['None'],[nan],[nan],,2008-10-03
321,an american haunting,117.45197857142857,16443277,14000000,16298046,30443277,['None'],[nan],[nan],,2006-05-05
322,an american in hollywood,-100.0,-125000,125000,0,0,"['None', 'Drama']",['Sai Varadan'],['Sai Varadan'],89.0,2014-07-18
323,an education,295.36981333333335,22152736,7500000,12574914,29652736,['None'],[nan],[nan],,2009-10-09
324,an everlasting piece,-98.12305,-3924922,4000000,75078,75078,['None'],[nan],[nan],,2000-12-22
325,an ideal husband,192.90825233644858,20641183,10700000,18542974,31341183,['None'],[nan],[nan],,1999-06-18
326,an inconvenient sequel,483.9322,4839322,1000000,3496795,5839322,['None'],[nan],[nan],,2017-07-28
327,an inconvenient truth,5236.5925,52365925,1000000,24146161,53365925,['None'],[nan],[nan],,2006-05-24
328,an unfinished life,-38.214749999999995,-11464425,30000000,8535575,18535575,['None'],[nan],[nan],,2005-09-09
329,anaconda,204.44201555555557,91998907,45000000,65598907,136998907,['None'],[nan],[nan],,1997-04-11
330,anacondas the hunt for the blood orchid,181.30557199999998,45326393,25000000,31526393,70326393,['None'],[nan],[nan],,2004-08-27
331,analyze that,-8.342071666666667,-5005243,60000000,32122249,54994757,['None'],[nan],[nan],,2002-12-06
332,analyze this,489.61886000000004,146885658,30000000,106885658,176885658,['None'],[nan],[nan],,1999-03-05
333,anastasia,163.77565283018868,86801096,53000000,58403409,139801096,['None'],[nan],[nan],,1997-11-14
334,anatomie,-99.61608,-2490402,2500000,9598,9598,['None'],[nan],[nan],,2000-09-08
335,anchorman 2 the legend continues,244.371508,122185754,50000000,127352707,172185754,['Comedy'],['Adam McKay'],"['Will Ferrell', 'Adam McKay']",119.0,2013-12-18
336,anchorman the legend of ron burgundy,257.90506,64476265,25000000,84136909,89476265,['None'],[nan],[nan],,2004-07-09
337,and so it goes,-0.4443722222222222,-79987,18000000,15160801,17920013,"['Comedy', 'Drama', 'Romance']",['Rob Reiner'],['Mark Andrus'],94.0,2014-07-25
338,and then came love,-99.17512639029323,-980842,989000,8158,8158,['None'],[nan],[nan],,2007-06-01
339,and when did you last see your father,-69.0438625,-5523509,8000000,1071240,2476491,['None'],[nan],[nan],,2008-06-06
340,anderson s cross,-100.0,-300000,300000,0,0,"['None', 'Romance', 'Drama', 'Comedy']",['Jerome Elston Scott'],['Jerome Elston Scott'],98.0,2010-12-31
341,angel eyes,-22.25123157894737,-8455468,38000000,24044532,29544532,['None'],[nan],[nan],,2001-05-18
342,angela s ashes,-47.84536,-11961340,25000000,13038660,13038660,['None'],[nan],[nan],,1999-12-24
343,angels demons,227.250564,340875846,150000000,133375846,490875846,['None'],[nan],[nan],,2009-05-15
344,anger management,249.3945392857143,139660942,56000000,135560942,195660942,['None'],[nan],[nan],,2003-04-11
345,animal kingdom,92.34959523809523,3878683,4200000,1044039,8078683,"['Drama', 'Crime', 'Thriller', 'Mystery']",['David Michôd'],['David Michôd'],113.0,2010-08-13
346,animals,-100.0,-5500000,5500000,0,0,['None'],[nan],[nan],,2008-12-31
347,anna,-72.46047102233388,-3157373,4357373,0,1200000,['None'],[nan],[nan],,2014-06-06
348,anna and the king,-47.66516266666667,-35748872,75000000,39251128,39251128,['None'],[nan],[nan],,1999-12-17
349,anna karenina,44.90740204081632,22004627,49000000,12816367,71004627,"['Drama', 'Romance']",['Joe Wright'],"['Tom Stoppard', 'Leo Tolstoy']",129.0,2012-11-16
350,annabelle,3851.7372307692303,250362920,6500000,84273813,256862920,"['Horror', 'Thriller', 'Mystery']",['John R. Leonetti'],['Gary Dauberman'],99.0,2014-10-03
351,annabelle creation,1935.8990999999999,290384865,15000000,102092201,305384865,"['Horror', 'Thriller', 'Mystery']",['David F. Sandberg'],['Gary Dauberman'],109.0,2017-08-11
352,annie,115.12249999999999,74829625,65000000,85911262,139829625,"['Comedy', 'Family', 'Drama']",['Will Gluck'],"['Thomas Meehan', 'Harold Gray', 'Aline Brosh McKenna', 'Will Gluck']",118.0,2014-12-19
353,annie get your gun,112.27000213596689,4231215,3768785,8000000,8000000,['None'],[nan],[nan],,1950-05-17
354,annie hall,856.285625,34251425,4000000,38251425,38251425,['None'],[nan],[nan],,1977-04-20
355,annihilation,-21.689245454545457,-11929085,55000000,32732301,43070915,"['Drama', 'Science Fiction', 'Adventure', 'Horror']",['Alex Garland'],"['Jeff VanderMeer', 'Alex Garland']",115.0,2018-02-23
